Quarter,UNRATE
1997Q1,7.3
1997Q2,7.2
1997Q3,6.9
1997Q4,6.5
1998Q1,6.4
1998Q2,6.3
1998Q3,6.2
1998Q4,6.2
1999Q1,6.2
1999Q2,6.0
1999Q3,5.9
1999Q4,5.8
2000Q1,5.8
2000Q2,5.5
2000Q3,5.3
2000Q4,5.2
2001Q1,5.1
2001Q2,5.0
2001Q3,5.1
2001Q4,5.2
2002Q1,5.2
2002Q2,5.2
2002Q3,5.2
2002Q4,5.1
2003Q1,5.1
2003Q2,5.0
2003Q3,5.0
2003Q4,4.9
2004Q1,4.8
2004Q2,4.8
2004Q3,4.7
2004Q4,4.7
2005Q1,4.7
2005Q2,4.8
2005Q3,4.8
2005Q4,5.1
2006Q1,5.2
2006Q2,5.5
2006Q3,5.5
2006Q4,5.5
2007Q1,5.5
2007Q2,5.4
2007Q3,5.3
2007Q4,5.2
2008Q1,5.2
2008Q2,5.4
2008Q3,5.9
2008Q4,6.4
2009Q1,7.0
2009Q2,7.8
2009Q3,7.9
2009Q4,7.8
2010Q1,8.0
2010Q2,7.9
2010Q3,7.8
2010Q4,7.9
2011Q1,7.8
2011Q2,7.9
2011Q3,8.3
2011Q4,8.4
2012Q1,8.2
2012Q2,8.0
2012Q3,7.8
2012Q4,7.8
2013Q1,7.9
2013Q2,7.7
2013Q3,7.6
2013Q4,7.2
2014Q1,6.7
2014Q2,6.3
2014Q3,6.0
2014Q4,5.7
2015Q1,5.5
2015Q2,5.6
2015Q3,5.3
2015Q4,5.1
2016Q1,5.1
2016Q2,4.9
2016Q3,4.9
2016Q4,4.7
2017Q1,4.6
2017Q2,4.4
2017Q3,4.3
2017Q4,4.3
2018Q1,4.2
2018Q2,4.1
2018Q3,4.1
2018Q4,4.0
2019Q1,3.9
2019Q2,3.9
2019Q3,3.9
2019Q4,3.8
2020Q1,4.0
2020Q2,4.2
2020Q3,4.9
2020Q4,5.2
2021Q1,4.9
2021Q2,4.7
2021Q3,4.4
2021Q4,4.2
2022Q1,3.8
2022Q2,3.7
2022Q3,3.7
2022Q4,3.9
2023Q1,4.0
2023Q2,4.2
2023Q3,4.1
2023Q4,4.0
2024Q1,4.3
2024Q2,4.3
2024Q3,4.2
2024Q4,4.4
2025Q1,4.5
